episode,total_reward,normalised_reward,steps,mean_loss,completed_requests,picked_up_requests,avg_wait_until_pickup,avg_excess_ride_time,epsilon,lr,eval_completed_requests,eval_picked_up_requests,eval_avg_wait_until_pickup,eval_avg_excess_ride_time,eval_eval_total_reward,eval_eval_steps
119,335.697952443629,1.678489762218145,200,1.2795563697814942,200,200,597.15,192.55226866618762,0.026243654822335028,1.8597552357385015e-05,,,,,,
120,329.8375949060112,1.649187974530056,200,1.2286137390136718,200,200,652.7,243.51769057986738,0.026040609137055838,1.8225450804457307e-05,200.0,200.0,600.85,197.92844065473292,339.3582315901892,200.0
121,351.3906434883703,1.7569532174418514,200,1.2399010825157166,200,200,399.1,136.74617081449207,0.02583756345177665,1.7855180580387094e-05,,,,,,
122,317.86637477709644,1.5893318738854822,200,1.1695304751396178,200,200,622.8,282.76334945053446,0.025634517766497462,1.748683489872321e-05,,,,,,
123,356.1104568645934,1.780552284322967,200,1.242049174308777,200,200,354.9,128.99717682931703,0.02543147208121828,1.7120506488521132e-05,,,,,,
124,359.13312313692893,1.7956656156846447,200,1.2568894600868226,200,200,344.5,132.2235303130076,0.02522842639593909,1.6756287570999172e-05,,,,,,
125,339.4952564700457,1.6974762823502285,200,1.2015223908424377,200,200,622.65,220.67498045571324,0.025025380710659902,1.6394269836322007e-05,200.0,200.0,654.5,193.8042635552513,348.93383891426413,200.0
126,361.62045936251354,1.8081022968125677,200,1.2375687050819397,200,200,334.95,124.25269436717437,0.024822335025380712,1.603454442051836e-05,,,,,,
127,327.93992745240945,1.6396996372620471,200,1.249608073234558,200,200,653.65,249.1650413628019,0.024619289340101526,1.5677201882537962e-05,,,,,,
128,359.74402813124647,1.7987201406562323,200,1.173807110786438,200,200,231.7,116.75416054503086,0.024416243654822336,1.532233218145375e-05,,,,,,
129,328.6769515538806,1.643384757769403,200,1.2638885831832887,200,200,643.0,254.12954798857376,0.024213197969543146,1.4970024653815262e-05,,,,,,
130,325.8570163304548,1.6292850816522741,200,1.186763653755188,200,200,652.2,230.66758350799918,0.024010152284263963,1.462036799115849e-05,200.0,200.0,556.4,207.81693692791265,335.6160013190512,200.0
131,352.29929491400924,1.761496474570046,200,1.272643404006958,200,200,285.55,131.57517001671792,0.023807106598984776,1.4273450217678404e-05,,,,,,
132,351.10617806113004,1.7555308903056501,200,1.1993363523483276,200,200,473.95,168.76855144660644,0.023604060913705587,1.3929358668069237e-05,,,,,,
133,332.29512986407343,1.661475649320367,200,1.1907756161689758,200,200,697.3,229.41271463737598,0.0234010152284264,1.3588179965538482e-05,,,,,,
134,357.0004382518345,1.7850021912591725,200,1.281323812007904,200,200,381.15,130.84175965848334,0.02319796954314721,1.3249999999999961e-05,,,,,,
135,347.5878216016901,1.7379391080084505,200,1.1954738545417785,200,200,538.75,163.05258993488073,0.02299492385786802,1.2914903906451514e-05,200.0,200.0,323.6,121.31287897044011,363.0340642488553,200.0
136,351.11142414268954,1.7555571207134477,200,1.2442653131484986,200,200,455.0,161.20288475615405,0.022791878172588834,1.2582976043542651e-05,,,,,,
137,340.62972029364846,1.7031486014682422,200,1.198974404335022,200,200,597.2,199.66584026447015,0.02258883248730965,1.2254299972337826e-05,,,,,,
138,326.45209916899,1.63226049584495,200,1.2787673330307008,200,200,716.5,265.40178202755845,0.02238578680203046,1.1928958435280264e-05,,,,,,
139,339.45472547925397,1.6972736273962699,200,1.2033971643447876,200,200,625.4,239.92404865416938,0.02218274111675127,1.1607033335362085e-05,,,,,,
140,329.6179280705931,1.6480896403529655,200,1.244008560180664,200,200,588.3,222.03804728805773,0.021979695431472084,1.1288605715505613e-05,200.0,200.0,231.1,111.39484701342681,360.25870103742176,200.0
141,348.11369529218354,1.7405684764609177,200,1.2023723602294922,200,200,515.45,164.76527163961103,0.021776649746192894,1.0973755738161275e-05,,,,,,
142,361.30253214866843,1.8065126607433422,200,1.1991772747039795,200,200,275.0,123.07677813861049,0.021573604060913708,1.0662562665127138e-05,,,,,,
143,354.8552108081969,1.7742760540409845,200,1.306182267665863,200,200,309.5,129.74459668893047,0.021370558375634518,1.035510483759514e-05,,,,,,
144,358.35765349440794,1.7917882674720398,200,1.2230018806457519,200,200,334.4,124.66418949814306,0.02116751269035533,1.0051459656429167e-05,,,,,,
145,352.24879589758996,1.7612439794879498,200,1.2157836151123047,200,200,418.8,148.295284212435,0.020964467005076145,9.751703562679757e-06,200.0,200.0,468.55,144.39427919870155,351.2624227115166,200.0
146,360.40061737284014,1.8020030868642007,200,1.2458826947212218,200,200,407.1,127.66878877228301,0.02076142131979696,9.455912018340491e-06,,,,,,
147,335.6377284433354,1.678188642216677,200,1.2161570835113524,200,200,629.2,240.61692680801596,0.02055837563451777,9.164159487350834e-06,,,,,,
148,338.99346433182757,1.6949673216591379,200,1.2649036478996276,200,200,596.4,191.37553320598238,0.020355329949238582,8.876519416850244e-06,,,,,,
149,330.90464221592134,1.6545232110796066,200,1.2105989503860473,200,200,596.8,222.8466717851139,0.020152284263959392,8.593064218688243e-06,,,,,,
150,328.0627128174552,1.640313564087276,200,1.173682737350464,200,200,671.9,287.1387548870176,0.019949238578680206,8.313865251195128e-06,200.0,200.0,349.7,126.75085054578308,355.1575939262009,200.0
151,346.9881001287517,1.7349405006437584,200,1.2958263444900513,200,200,440.0,191.95968887733815,0.019746192893401016,8.03899280121787e-06,,,,,,
152,335.59025288180544,1.6779512644090273,200,1.254213707447052,200,200,574.8,193.19369475409061,0.019543147208121833,7.768516066425795e-06,,,,,,
153,349.822602036097,1.749113010180485,200,1.217513325214386,200,200,588.3,178.56807050975985,0.019340101522842643,7.502503137890453e-06,,,,,,
154,353.6277271524109,1.7681386357620545,200,1.1561025810241699,200,200,343.4,141.67438503605223,0.019137055837563456,7.241020982944026e-06,,,,,,
155,344.8682520356573,1.7243412601782864,200,1.2394000673294068,200,200,544.9,174.34388719569048,0.018934010152284266,6.984135428320693e-06,200.0,200.0,573.45,197.53294428239133,339.40784964289327,200.0
156,331.0332486366698,1.655166243183349,200,1.2716555094718933,200,200,679.85,263.7928411805608,0.018730964467005076,6.731911143585059e-06,,,,,,
157,340.42612502622507,1.7021306251311252,200,1.2117409825325012,200,200,520.55,187.75815970468372,0.01852791878172589,6.484411624851975e-06,,,,,,
158,329.4673107235765,1.6473365536178823,200,1.2613672280311585,200,200,694.35,243.43255808373863,0.018324873096446703,6.241699178801722e-06,,,,,,
159,360.836824794827,1.804184123974135,200,1.2096560382843018,200,200,351.2,122.62686855064607,0.018121827411167517,6.003834906994625e-06,,,,,,
160,361.92924352600136,1.8096462176300068,200,1.1987154364585877,200,200,349.0,117.08593032570415,0.01791878172588833,5.770878690489079e-06,200.0,200.0,553.1,195.79483334853288,336.0369055662661,200.0
161,358.4653175743518,1.792326587871759,200,1.2292078590393067,200,200,320.8,124.3258545345979,0.017715736040609137,5.542889174766788e-06,,,,,,
162,356.4564435645715,1.7822822178228575,200,1.174245572090149,200,200,333.3,125.28099557477942,0.01751269035532995,5.31992375496911e-06,,,,,,
163,362.4077435111267,1.8120387175556334,200,1.2570111393928527,200,200,307.85,117.8647891713631,0.017309644670050764,5.1020385614481135e-06,,,,,,
164,351.3721077970889,1.7568605389854446,200,1.2736095237731933,200,200,409.0,142.3316297132489,0.017106598984771577,4.8892884456360746e-06,,,,,,
165,360.02682975279396,1.8001341487639697,200,1.2209775424003602,200,200,334.45,125.37579545953949,0.016903553299492384,4.681726966236907e-06,200.0,200.0,497.0,190.57082876400008,335.9670950287582,200.0
166,335.4972592795431,1.6774862963977153,200,1.2736022090911865,200,200,641.45,227.37255331072734,0.016700507614213198,4.479406375743085e-06,,,,,,
167,334.21024942120573,1.6710512471060286,200,1.2236474871635437,200,200,630.55,219.057934948788,0.01649746192893401,4.282377607281271e-06,,,,,,
168,358.6353517591031,1.7931767587955156,200,1.2962645268440247,200,200,335.25,124.30161670499224,0.016294416243654825,4.090690261790294e-06,,,,,,
